natural_command,bash_command
Find all file in current directory with have .c extenstion & have 777 permission . delete then,"find . -name ""*.c"" -a  -perm -777 | xargs rm -rf"
search for MP3 files in the current folder and subfolders except in dir1 subfolder.,"find ! -path ""dir1"" -iname ""*.mp3"""
show all the files in the folder /etc which have been modified in the last 24 hours,find /etc -mtime -1
find all files that were modified between 90 to 100 days ago in home directory and delete then .,find /home -type f -mtime +90 -mtime -100  -exec rm  {} \;
Print the file sizes along with their paths for all *.txt (case insensitive) files/directories under current directory tree,"find . -iname ""*.txt"" -exec du -b {} +"
List files in the current directory,find . \
Find all hard links to file1 under /home directory,find /home -xdev -samefile file1
Print all files and directories in the `.' directory tree skipping SCCS directories but printing out the SCCS directory name,find . -print -name SCCS -prune
"Search the *.pdf files from directory tree PDFs/ for text ""perry sound"", ignoring the case, and print the list of matched files","find PDFs/ -name '*.pdf' -exec sh -c 'pdftotext ""{}"" - | grep -l -i --with-filename --label=""{}"" --color ""perry sound""' \;"
Print all directories under $root appending a :  at the end of each path,find $root -type d -printf '%p:'
Find all thumb.png files in the temps/ directory tree,"find temps/ -name ""thumb.png"""
display list of all the files in the current directory,find -print0 | xargs -0 ls
Search the system for files and directories owned by group `managers',find / -group managers -print
find all the wav files in the current folder and do not search in the sub directories,find . -name '*.wav' -maxdepth 1
Delete all regular files named 'IMAGE1806.jpg' under current directory tree,find . -type f -name 'IMAGE1806.jpg' -delete
find all the files in the current folder and display adding quotations to each file and replace spaces with new line,"find $PWD -exec echo -n '""{}"" ' \; | tr '\n' ' '"
Archive all filepattern-*2009* files/directories under data/ into 2009.tar,find data/ -name filepattern-*2009* -print0 | xargs -0 tar uf 2009.tar
display a list of all java or jsp files in the current folders,find . \ -type f -ls
find all the files that were modified yesterday in the current directory.,find . -daystart -ctime 0 -type f
display all the text files  in the current folder,"find . -name ""*.txt"" -print"
Find all regular files under $d directory tree and change their permissions to 777,"find ""$d/"" -type f -print0 | xargs -0 chmod 777"
Search the current directory tree for files executable by at least someone,find . -type f \ -exec test -x {} \; -print
find all the php files in the current folder,find . -name “*.[php|PHP]” -print
Find all regular files in and below the home directory that have been modified in the last 90 minutes,find ~ -type f -mmin -90
Find broken symlinks,"find ./ -follow -lname ""*"""
find symbolic links with pattern` '*sysdep.c',find . -lname '*sysdep.c'
show the disk use of all the regular/normal files in the current folder which are bigger than 50MB,find . -type f -size +50000k | xargs du -sh
Find all the files which were modified 50 days ago,find / -mtime 50
"Delete files in the DIR directory tree whose names begin with ""2015"" and contain ""album"" or ""picture""",find DIR \( -name 2015\* -a \ \) -delete
Search for 'Text To Find' in all regular files under current directory tree and show the matched files,"find ./ -type f -exec grep -l ""Text To Find"" {} \;"
create a link to all the html or htm files in the current folder which have been changed in the last 30*24 hours,find \ -a -ctime -30 -exec ln {} /var/www/obsolete \;
"find all files and directories under the current directory and display the inode of each one, using the stat command on FreeBSD/OSX",find . -print0 | xargs -0 stat -f '%i '
display all the regular files in the current folder that are exactly 10KB,find . -type f -size 10k
find all the normal/regular files in the current folder which have been accessed in the last 24 hours and display a long listing of them,find . -type f -atime -1 -exec ls -l {} \;
Find all $2 files in $1 path and search for the regex expanded by $3 in those files excluding the files with /proc in their paths,"find $1 -name ""$2"" | grep -v '/proc' | xargs grep -Hn ""$3"" {} \;"
Find all files/directories named 'articles.jpg' under '/home/username/public_html/images' directory tree,"find /home/username/public_html/images -name ""articles.jpg"""
List *.txt files residing in the current directory tree,find . -name *.txt -exec ls {} ;\
Find all empty directories in minimum 2 levels down the root directory,find root -mindepth 2 -type d -empty
"Search the home directory for files whose names begin with ""test""","find ~ -name ""test*"" -print"
"remove all ""Foo*"" files under current dir","find . -type f -name ""Foo*"" -exec rm {} \;"
"Find all directories that do not contain ""main.cpp""",diff <(find . -exec readlink -f {} \; | sed 's/\(.*\)\/.*$/\1/' | sort | uniq) <(find . -name main.cpp  -exec readlink -f {} \; | sed 's/\(.*\)\/.*$/\1/' | sort | uniq) | sed -n 's/< \(.*\)/\1/p'
Check if directory $some_dir is empty,"find ""$some_dir"" -prune -empty -type d | read && echo empty || echo ""not empty"""
Recursively finds all '*.pdf' files in a current folder and removes them.,find . -name '*.pdf' -exec rm {} +
"change owner of the files into directory ""/mydir"" with "".txt"" extension to user root","find /mydir -type f -name ""*.txt"" -execdir chown root {} ';'"
find all files in the folder /path/to/dir which have been modified between two dates,find /path/to/dir -newermt yyyy-mm-dd ! -newermt yyyy-mm-dd -ls
"find all the files in the folder ""/mp3-collection"" which are bigger than 10MB excluding those that start with the word Metallica","find /mp3-collection -size +10000k ! -name ""Metallica*"""
"Find all files in the current directory аргумент and its sub-directories with the optional constraints of опция_поиска, значение and/or значение.",find аргумент [опция_поиска] [значение] [значение]
find all the files in the current folder which have been changed in the last 60 minutes,find . -cmin -60
change the ownership of all the files in the file system from edwarda to earnestc,"find / -user edwarda -exec chown earnestc ""{}"" \;"
display the names without extensions of all the data files in current folder which have not been changed in the last 60 mins,"find ./ -name ""*.dat"" -type f -cmin +60 -exec basename {} \;"
find all files in the file system which have no user and no group,find / -nouser -nogroup
Search for 'DOGS' in all files with '.txt' extension under ~/documents and also print the file names,find ~/documents -type f -name '*.txt' -exec grep -s DOGS {} \; -print
Find the empty directories and files under current directory,find -empty
search for a word in all the regular files in the current folder without traversing the sub directories .,find -maxdepth 1 -type f | xargs grep -F 'example'
find  file which case-insensitive name is too in currect directory,find . -iname foo
"Search the home directory tree for files last modified less than 2 days ago or newer than file ""filename""",find ~/ -mtime -2 -o newer filename
Find regular non-hidden files containing 'some text' in their names,find . -not -path '*/\.*' -type f -name '*some text*'
"Update the archived copy of the home directory, ""alldata.tar""",find ~/ -newer alldata.tar -exec tar uvf alldata.tar {} ;
"Recursively removes all files like '*.pyc' in a current folder, printing info message about each action.","find . -name ""*.pyc"" | xargs -I {} rm -v ""{}"""
Search directories /res/values-en-rUS and /res/xml for XML files,find /res/values-en-rUS /res/xml -iname '*.xml'
"find the file ""MyCProgram.c"" in the current folder","find -iname ""MyCProgram.c"""
display the count of number html files in the current folder,"find . -name ""*.html"" -print | xargs -l -i wc {}"
search for all the directories in a folder and limit the search to current folder and give them as input to the python script,find /stuff/* -type d -maxdepth 1 -print0 | xargs -0 script.py
"Search for file ""file"" between level 2 and 3 of the directory tree",find -mindepth 2 -maxdepth 3 -name file
"List in detail all *.txt files in the current directory tree, omitting paths ./Movies/*, ./Downloads/*, and ./Music/*","find . -type f -name ""*.txt"" ! -path ""./Movies/*"" ! -path ""./Downloads/*"" ! -path ""./Music/*"" -ls"
Search the current directory recursively for files writable for `others',find . -perm -o+w
"list in long format all files from / whose filename ends in ""jbd"", not descending into directories that are not readable while searching.",find / \! -readable -prune -o -name '*.jbd' -ls
find all the files  that were updated in the last 24 hours,find / -mtime -1
